"Nome Comune","Numero di abitanti","Sindaco","Nome degli abitanti","Frazioni","Codice Postale","Superficie","Numero di frazioni","Etimologia del nome","Storia","Patrono","Giorno festivo","Epoca di fondazione","Secolo di fondazione","Anno di fondazione","Numero di punti di interesse","Numero di aziende","Numero di scuole","Percorsi","Eventi","Geolocalizzazione","Immagine","Sitografia","Bibliografia"
"Lacedonia",3000,"Antonio Di Conza","Lacedonesi","Informazione assente",83046,81.57,"Informazione assente","In passato era chiamato Aquilonia, (da aquilus, ossia oscuro) da cui poi Acedonia. Il nome potrebbe però derivare anche da Akunniad, ossia ""madre cicogna"". Questo animale è rappresentato anche sullo stemma, mentre stringe e becca un serpente.","Lacedonia era abitata fin dall'età eneolitica: lo confermano resti di armi in rame e altri reperti rinvenuti nel suo territorio.  I romani costruirono a Lacedonia delle piscine, le terme, l'anfiteatro, lavatoi, giardini pubblici e, nella località ""i capi dell'acqua"", una mutatio (una stazione destinata al cambio di carri e cavalli). cedonia venne in seguito donata, nel VI secolo, ai Benedettini dall'Imperatore d'Oriente Giustiniano. In seguito passò sotto il dominio prima dei, poi dei duchi di Conza e infine dei Normanni; fu a quell'epoca che Lacedonia divenne sede vescovile.  In seguito al terremoto del 1930, il regime fascista ricostruì la città con case antisismiche.","San Filippo Neri","26 maggio","Neolitica","Informazione assente","Informazione assente",28,50,7,"Lacedonia offre al visitatore la possibilità di effettuare piacevoli, rilassanti ed ossigentanti passeggiate a contatto con la natura ancora incontaminata, con la possibilità di ammirare diversi corsi d'acqua (torrenti Osento, Vallone Isca, fiume Ofanto, torrente Calaggio) e persino un bacino lacustre artificiale (Lago di San Pietro)","il Falò di San Giuseppe (19 marzo), la Festa della Madonna delle Grazie, che si tiene la prima domenica di maggio (La statua della Madonna delle Grazie viene portata in processione fino a Lacedonia ad aprile, il Lunedì in Albis, dove viene esposta all'adorazione dei fedeli per circa un mese nella Cattedrale.","41.04990887054246, 15.423803018008208","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/392b583d-d005-487d-87b1-212fa65e1dcc.jpg","http://www.irpinia.info/sito/towns/lacedonia/lacedonia.htm, https://it.wikipedia.org/wiki/Lacedonia, http://comune.lacedonia.av.it/c064041/zf/index.php/servizi-aggiuntivi/index/index/idtesto/8","",
"Lapio",1491,"Maria Teresa Lepore","Lapiani","Arianiello, Casale Monaci, Cerreto, Tognano",83030,15.25,4,"Da Lapideum ""roccioso, sassoso""altri invece sostengono derivi dal fiano il vino.","Le origini del borgo sono antichissime. Fu prima possesso dei Longobardi, poi divenne feudo appartenuto alla nobile famiglia dei Filangieri di Napoli, i cui segni è possibile ritrovare nel Palazzo baronale dei Filangieri, la cui costruzione risale al periodi tra il 1200 e il 1300.","San Pietro martire","29 aprile","Antica","XIII","Informazione assente",12,14,4,"Sentiero dei Monti, Sentiero dei Tedeschi Sentiero Quattro Fontane","Fiano love fest, Le Lumanerie e Festa della Vendemmia","40.982222, 14.947222","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/2789d673-c063-44b2-b040-f68d008f4fd9.jpg","wikipedia","",
"Lauro",3441,"Antonio Bossone","Lauretani","Fontenovella, Ima, Migliano, Pignano",83023,11.29,4,"l toponimo ""Lauro"" deriva dal latino laurus, che significa proprio lauro, ovvero alloro","Dal Medioevo all'età napoleonica Lauro fu un importante feudo marchesale e la sua posizione strategico-militare nel vallo di Lauro fu lungamente oggetto di contesa nell'avvicendamento e consolidamento delle varie dinastie in Campania. Lauro fu dominio del Principato di Benevento e poi di quello di Salerno e di Capua.","San Rocco e San Sebastiano","20 gennaio","Antica","Informazione assente","Informazione assente",27,21,5,"Oasi WWF Montagna, Piano di Lauro e Parco Regionale Partenio","Festival dell'arte e Calendario natalizio","40.877885, 14.633237","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/737816d4-3c13-4888-9291-fa56d69bc159.jpg","wikipedia","",
"Lioni",6141,"Yuri Gioino","Lionesi","Valle delle Viti, Civita, Santa Maria del Piano, Oppido, Cerrete",83047,46.51,7,"Probabilmente deriva dal nome della persona proprietaria di quelle terre: Leo, il cui genitivo è Leonis, ossia ""di Leo"" che veniva usato per identificare il terreno appartenente alla sua famiglia","Il nome del paese appare per la prima volta in un atto di donazione datato 883, con il quale il principe longobardo Sicardo concede alla badessa di S. Sofia una proprietà sita in ""Leoni"". Nei Registri Angioini si legge di diversi reclami (tra il 1289 e il 1306) avanzati da alcuni feudatari di Oppido verso i colleghi di S.Angelo.","San Rocco","16 agosto","Medievale","IX",883,7,19,5,"Oasi WWF, Cascate di Lioni","Nel periodo estivo il paese si è fatto promotore di varie iniziative di carattere culturale come il LioniJazzFestival e il LioniMusicFestival.","40.877768, 15.186440","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/31ea3041-b78d-433d-ac12-220c0aabea28.jpg","Wikipedia, Irpiniainfo","",
"Luogosano",1127,"Carmine Ferrante","Luogosanesi","nessuna",83040,6.07,0,"Si ritiene sorto il paese alla venuta delle colonie romane nei campi taurasini che vi eressero un locale dove stavano gli infermi per riaversi in salute. Altre fonti opinano che il paese sia sorto dalla distrutta ""Cisauna"".","La sua storia è molto antica risale al V secolo. Si ritiene sorto il paese alla venuta delle colonie romane nei campi taurasini che vi eressero un locale dove stavano gli infermi per riaversi in salute. Altre fonti opinano che il paese sia sorto dalla distrutta ""Cisauna"".","San Marcellino","2 giugno, 11/12/13 agosto e 7/8 dicembre","Medievale","Informazione assente","Informazione assente",2,17,2,"Percorso Partenio","Concorso poesia, concorso dei falò, Immacolata Concezione e Via Crucis","40.985690, 14.992101","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/30f12962-e5a3-4f69-adec-772610edc5cf.jpeg","Wikipedia","",
"Manocalzati",3198,"Lucio Pasquale Tirone","Manocalzatesi","San Barbato",83030,9.15,1,"Vi è chi ricollega tale origine ad una matrona romana di nome Manuzia, chi ad una famiglia feudataria, chi a ""loco malecalbiati"", indicato in un atto del 1038 (""malecalbiati"", cioè ""poco spogli"", in relazione all'abbondante vegetazione da cui era ed ancora è circondato il borgo), chi, infine, ad a ""irsuti"" (tali sarebbero stati i Manocalzatesi).","I primi accenni della storia risalgono al XII secolo. Anche se si sa che l'esistenza di questo luogo risale all'età del ferro romana.","San Marco","25 aprile","Antica","Informazione assente","Informazione assente",4,9,3,"Contrada Piano","Campagna amica, sagra del fusillo e festa di Sant'Antonio","40.94167944483127, 14.845906750415391","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/ebe7313f-a239-4a30-923d-7225b89fe3bb.jpeg","Wikipedia e irpiniainfo","",
"Marzano di Nola",1696,"Francesco Addeo","Marzanesi","Torre, Tavernola",83020,5.12,2,"Essendo la storia di Marzano strettamente collegata a quella della vicina Nola, si fa ricondurre il nome Marzano come derivante dal prefetto di Nola Marcianus, che rivestì tale carica dall'84 all'86 d.C.","L'origine di Marzano è attestata al VI-VII secolo a.C. per notizie riguardanti l'eruzione del 900 a.C. avvenuta tra Avella e Marzano, fattore che costrinse gli Etruschi a spostarsi nella limitrofa Pompei. Tuttavia Marzano seguì le medesime vicende di Nola. Prime fonti riguardanti il territorio di Marzano di Nola si hanno intorno al 90 a.C. quando subì il saccheggio prima di Silla e poi di Spartaco. Successivamente Marzano fu occupata dai Longobardi fino a far parte nel 594 della Longobardia minore nella sezione del Gastaldato di Nola.","San Trifone","10 novembre","Antica","I","90 a.C.",22,13,4,"Informazione assente","Festa St Maria dell'Abbondanza ed eventi teatrali","40.900453197993635, 14.582126572744976","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/a0df1ffe-3de0-4c7c-a325-444a38bbc59c.jpeg","Irpinia info","",
"Melito Irpino",1927,"Michele Spinazzola.","Melitesi","Cozza, Fontana del Bosco, Incoronata",83030,21.08,3,"In passato il luogo era conosciuto con il nome di Melito Valle Bonito. Il nome attuale deriva dal latino Malus, ossia albero di mele, a cui si aggiunge il suffisso -etum. Un'altra ipotesi (poco credibile) vuole che il nome derivi da Melae, un'antica città sannita. Per distinguere il comune dagli altri omonimi è stato aggiunto al nome l'aggettivo ""Irpino"", identificativo della zona.","Secondo una teoria poco accreditata tra gli storici potrebbe essere sorta sui resti dell'antica città sannitica di MELAE. Citata dallo storico latino Tito Livio, ospitò un insediamento romano, come testimoniano numerosi ritrovamenti archeologici nella zona. Ma il primo nucleo dell'attuale abitato sorse però soltanto in epoca normanna (XI-XII secolo), sotto l'egida dei conti d'Ariano, potenti feudatari locali. Fu inglobato successivamente nei domini dei Gesualdo e dei Della Marra, cquisita dai Caracciolo nella seconda metà del Cinquecento, poi passò ai Pisanelli e ai Pagano (1784). Nel 1962, a seguito dei devastanti effetti di un terremoto, l'abitato venne ricostruito nelle vicinanze del sito precedente, secondo moderni criteri antisismici.","Sant'Egidio Abate","1 settembre","Medievale","Informazione assente","Informazione assente",9,18,9,"Via Creta Contrada San Tommaso , Via strada statale 90 , Via contrada Creta Acquasalza","I melitesi festeggiano altresì la Madonna Incoronata (Pasquetta), S. Antonio (13 giugno) e S. Anna (26 luglio, con fiera), S. Maria Addolorata (15 settembre, con fiera).","41.1041, 15.0532","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/f0349cf3-84ad-46be-81ba-e95b85950e44.jpeg","","",
"Mercogliano",12180,"Vittorio D'Alessio","Mercoglianesi","Torrette, Torelli, Montevergine",83013,20.32,3,"Il nome Mercogliano sembra derivare da Mercurianum che, secondo alcuni studiosi, indicherebbe la presenza in questi luoghi di possedimenti, praedia, dei magistri mercuriales, i magistrati, prevalentemente liberti, che amministravano il culto di Mercurio.","Essendovi sorta dopo la guerra sannitica una colonia romana, il luogo conservò il nome del luogo dove, appunto si venerava il culto di Mercurio, fino al medioevo con la denominazione di ""Castrum Mercuriani"", da cui deriva il nome attuale. Il luogo, comunque, fino al XV secolo conserva anche nello stesso stemma civico, l'immagine del dio Mercurio. Di particolare importanza è una colonna militare romana ritrovata in località Alvanella che conferma la presenza di un'importante arteria viaria che conduceva (e conduce) a Napoli.","San Modestino, San Fiorentino e San Flaviano","14 febbraio","Medievale","VI","Informazione assente",7,32,9,"Via Strada Provinciale 70 , Via Strada Provinciale ex strada statale","Informazione assente","40.92209, 14.73862","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/e63ca5db-780c-489e-9ef6-0684002a1251.jpg","http://www.comunemercogliano.it/","",
"Mirabella Eclano",7492,"Giancarlo Ruggiero","Mirabellani, Eclanesi","Calore, Passo di Mirabella, Pianopantano",83036,34.36,3,"Sorge su di una dorsale collinare posta a separazione della valle del Calore, dalla valle dell'Ufita. Il termine ""Mirabella"" deriva, secondo alcuni dall'unione di mira, con il significato di ""guardare"", e bellum, in riferimento alla bellezza del luogo.","Il nucleo urbano di Aeclanum si afferma con i Sanniti e la loro successiva romanizzazione. Nell'89 a.C. la città partecipò alla guerra sociale e fu distrutta da Silla. Ricostruita e fortificata dai Romani fu eretta in Municipio e, nel II secolo, divenne colonia romana. Fu città di sosta e di mercato sulla Via Appia, ricca di opere pubbliche e monumenti. Con l'affermarsi del cristianesimo fu sede episcopale ed ebbe nel suo vescovo Giuliano un fiero oppositore di sant'Agostino.","Madonna del Latte","2 febbraio","Informazione assente","XIX","1862 - 1873",18,30,16,"Via Strada Provinciale 271, Via Contrada San Vincenzo , Via Strada Provinciale 106","Settembre eclanese , il trasporto del carro , mercatini di Natale , tombolata a calore , sagra trippa e spezzatino , sagra della pannocchia","41.04100, 14.99240","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/23a5af11-98ce-4a3e-a238-07ac32fdece2.jpg","http://www.comunemirabellaeclano.gov.it/c064050/zf/index.php/itinerari","",
"Montaguto",373,"Marcello Zecchino","Montagutesi","Taverna di Montaguto",83030,18.38,1,"Secondo una tradizione i primi abitatori, provenienti dal sottostante casale di ""Sambucéto"" (Saucìto in dialetto irpino), giunsero nel sito attuale chiamandolo ""Monte alto"" (Mont'àuto in dialetto), nome che col tempo passò a Montaùto, poi Montaguto. Più verosimilmente il toponimo deriva da ""Monte acuto"", ossia ""monte aguzzo""","Il borgo è citato per la prima volta in un documento (risalente al 950 circa) della diocesi di Bovino, in cui è riconosciuto come parrocchia. Al 1179 risale invece la prima attestazione del casale di Sambuceto, poi decaduto e infine aggregato proprio a Montaguto, nel frattempo assegnato alla baronia di Flumeri","San Crescenzo","13 agosto","Medievale","X",922,14,24,9,"Via strada Provinciale 121 , Via Strada Comunale","Informazione assente","41.2481, 15.2508","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/28e22236-5dd3-428f-9e1c-f2116b284a5c.jpg","https://www.tuttitalia.it/campania/19-montaguto/","",
"Montecalvo Irpino",3475,"Mirko Iorillo","Montecalvesi","Corsano, Malvizza",83037,54.01,2,"L'area di Montecalvo fu stabilmente abitata da popolazioni normanne e longobarde, tant'è che il nome ""Mons calvus"" sarebbe di origine normanna, probabilmente per sottolinare il fatto che il borgo venne edificato in cima ad un monte privo di vegetazione.","La prima notizia storica di Montecalvo è contenuta in un documento del 1096, in cui si fa riferimento all'invio di circa sessanta armati di quella zona nella spedizione in Terrasanta voluta da Guglielmo il Buono","San Felice","30 agosto","Antica","Informazione assente","Informazione assente",13,8,9,"Via Strada Provinciale 148 , Via Strada Provinciale 30 RA9","Fiera di Santa Caterina , sagra di Ciatielli","41.196667, 15.034167","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/bee7bf8f-52af-4efb-968e-559c7b73bd69.jpg","https://it.wikipedia.org/wiki/Montecalvo_Irpino","",
"Montefalcione",13454,"Maria Antonietta Belli","Montefalcionesi","Castelrotto,Cataldi,Guuarini- Santa Marina,Iantosca,Polcari-Rastiello,San Fele,Toppolo San Felice, Verzare-Lolli",83030,15.15,6,"Montefalcione negli scritti longobardi era detto Montefalsone Oppidum, poi sotto il dominio dei Tocco e dei Puderico venne chiamato Montefalcione.","Le origini di Montefalcione risalgono a parecchi secoli prima dell’era volgare come si riscontra dal rinvenimento di tombe, basi e iscrizioni romane. Venne a formarsi il primo nucleo dell’attuale paese che troviamo indicato nel VI secolo con il nome di Montefalcione oppidum.","Sant'Antonio di Padova","13 giugno","Antica","Informazione assente","Informazione assente","5,santuari e statue.",50,3,"Buonalbergo, Torre le Nocelle.","Festa di San Feliciano, festa di Sant'Antonio, fiera della Madonna di Montevergine","40.963984097302095, 14.884576741850196","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/9e808fde-a4f7-4d71-8263-1d7d13ef2d25.jpg","wikipedia","",
"Monteforte Irpino",11780,"Costantino Giordano","Montefortesi","Alvanella,Campi,Fenestrelle,Gaudi,Molinelle,Vetriera",83024,26.7,6,"""monte"" e ""forte"" riferito alla posizione del luogo.","Il suo castello, da cui prende il nome il paese, fu probabilmente un antico Castrum romano, su cui può edificato un castello vero e proprio probabilmente dai longobardi . La storia di Monteforte e antichissima, si trovano tracce della sua esistenza durante la seconda guerra punica.","San Martino di Tours","11 novembre","Medievale","IX",891,4,6,10,"Informazione assente","","40.89205888209706, 14.7148589061443","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/0e28f936-aef3-4c5c-8e6e-8fef3592f97e.jpg","wikipedia","",
"Montefredane",2263,"Valentino Tropeano","Montefredanesi","Alimata,Arcella,Boscomagliano",83030,9.45,3,"deriva dall'unione di ""monte"" e ""Fredane"" che potrebbe derivare dal nome latino di persona Fridus.","La zona in cui sorge oggi Montefredane fu abitata in epoche remote dei sanniti. Successivamente in corrispondenza della frazione di Arcella si stanziarono popolazioni romane, nel VII Secolo Montefredane fu menzionato nel catalogo US Baronum, in quanto appartenente alla contea di Avellino.","San Nicola di Bari","6 dicembre","Antica","VI","",3,40,3,"Informazione assente","","40.95988354999304, 14.813557416045729","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/62dc3967-5136-4770-a68f-236e6921d921.jpg","wikipedia","",
"Montefusco",1322,"Gaetano Zaccaria","Montefuscani","Marotta,Piano delle Mele, Sant'Antonio Abate, Sant'Egidio, Serra",83030,15.15,6,"Il nome deriva dall'unione di Mons e Fuscolo.","Montefusco è stata sfruttata e valorizzata dai longobardi, infatti presentava requisiti importanti e  rappresentava una fortezza naturale in una posizione strategica, dalla quale era possibile attaccare i nemici e difendersi da essi. In più Montefusco era ricca di sorgenti d’acqua. La tradizione storica fa risalire ai longobardi nel IX secolo la fortificazione delle mura e un primo insediamento.","SS. Spina di Cristo","8 - 9 ottobre","Medievale","VII","",4,4,4,"Informazione assente","","41.03702576990899, 14.854616968025377","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/15ae5ea1-f201-4cbb-bd7e-229320af442a.jpg","wikipedia","",
"Montella",7744,"Ferruccio Capone","Montellesi","Fondana, San Giovanni, Piazza, Sorbo, Laurini, Torre, Serra, Corso, Folloni, Libera, Tagliabosco",83048,83.36,11,"deriva da ""monte"" più il suffisso -ella per indicare le dimensioni.","Nato su una zona già abitata dal periodo neolitico, il paese diventa sede e contea sotto i longobardi. Montella è nota per la produzione della castagna e per il tartufo nero. Il territorio è prevalentemente montuoso e ricco di sorgenti.","San Rocco","15 - 16 agosto","Neolitica","Informazione assente","Informazione assente",4,30,3,"","","40.844118873708936, 15.017143231223681","http://spod.databenc.it/ethersheet/images/c7a46cd1-c4ce-4cee-ab05-f0d810accfc7/0f3a962f-d682-4a44-b460-b50aa481874e.jpg","wikipedia","",
"Montemarano",2853,"Beniamino Palmieri","Montemaranesi","Ponteromito",83040,34.01,1,"Informazione assente","Secondo lo storico Appiano d'Alessandria, Montemarano fu fondata dal valoroso generale sannita Mario Egnazio, che riuscì perfino a sconfiggere nei pressi del monte Toro le schiere romane.[6]Dal 1059 fu sede vescovile. Nel medioevo è contea, con Riccardo Caracciolo detto il Rosso (1082); nel XIII secolo fu possedimento del conte Ligorio Caracciolo. La diocesi di Montemarano fu soppressa il 27 giugno 1818.Tra gli episodi della vita di san Francesco raccontati nel ciclo di affreschi di Giotto nella Basilica Superiore di Assisi, c'è quello intitolato la morta di Montemarano[6], che ricorda il miracolo che vide protagonista una donna del paese, resuscitata, secondo la tradizione, dal santo d'Assisi.","San Giovanni di Montemarano","21 agosto","Medievale","Informazione assente",1000,3,40,"","Informazione assente","carnevale sagra del vino","40.91989040855461, 14.997098072639178","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/7e8b2552-eedf-44cb-86e4-e6120a9eb2b9.jpeg","wikipedia","",
"Montemiletto",5288,"Massimiliano Minichiello","Montemilettesi","caponi,festola,lomba,montaperto,san bartolomeo,san giovanni,san nicola,serra,sant'angelo,stazione di montemiletto",83038,22.04,9,"Informazione assente","l borgo ha avuto origine agli albori del Medioevo anche se la zona è stata frequentata fin dalla preistoria. Le prime notizie certe su Montemiletto risalgono al XII secolo. Fu feudo dei Della Leonessa e dei De Tocco fino al 1806.[5]Il centro storico del paese si sviluppa proprio attorno al Castello della Leonessa, situato in posizione dominante sulle colline irpine.","San Gaetano","7 agosto","Medievale","Informazione assente","Informazione assente",5,"","","","","41.01168125546994, 14.907434993618054","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/1fa9628e-bb17-45e9-a52b-eb8fac11c3e8.jpeg","wikipedia","",
"Monteverde",740,"Francesco Ricciardi","Monteverdesi","Non ha frazioni",83049,39,0,"Informazione assente","Nell'XI secolo divenne sede vescovile ed ebbe un proprio vescovo fino al 1531, anno in cui la diocesi di Monteverde fu unita alla diocesi di Canne. Dal 1532 al 1641 costituì la Signoria di Monteverde per i Grimaldi Principi di Monaco Marchesi di Campagna[12]. La diocesi sarà definitivamente soppressa nel 1818.","Santa Caterina d'Alessandria","25 novembre","Medievale","XI","Informazione assente",3,"","","","","40.996829640362016, 15.5345912874512","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/d78cb785-0d19-4390-bc95-b288cc25cd5d.jpeg","wikipedia","",
"Montoro",19568,"Girolamo Giaquinto","Montoresi","Aterrana, Banzano, Borgo, Caliano, Chiusa, Figlioli, Misciano, Piano (sede comunale), Piazza di Pandola, Preturo, San Bartolomeo, Sant'Eustachio, San Felice, San Pietro, Torchiati[1][2]",83025,40.15,15,"Informazione assente","Il 26 e 27 maggio 2013 si è svolto il referendum consultivo sulla fusione di Montoro Inferiore e Montoro Superiore (in cui, nel 2009, si era già tenuta una consultazione sulla fusione[9]), terminato con il 77,41% dei votanti complessivi favorevoli alla fusione[10]. Con la Legge regionale nº 16 dell'11 novembre 2013 è stato istituito il comune di Montoro[7], formalmente costituito il 3 dicembre 2013[8].","San Nicola da Tolentino","10 settembre","Contemporanea","XXI",2013,3,"","","","","40.83878594960672, 14.783037159570181","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/822333cf-a615-41b1-8105-f9682a8718d0.jpeg","wikipedia","",
"Morra De Sanctis",1197,"Vincenzo di Sabato","Morresi","cervino,conza della campania,guardia lombardi,lioni,sant'angelo dei lombardi,teora",83040,30.41,6,"Informazione assente","Nel IX secolo il paese fu presidio fortificato tra i due principati longobardi di Salerno e Benevento, e per la sua posizione strategica sull'Ofanto venne continuamente coinvolto nella guerra tra longobardi, bizantini e saraceni. Dal periodo normanno fino al 1385 Morra fu feudo dell'omonima famiglia baronale e conobbe momenti di notevole espansione territoriale: all'inizio del '200 i feudi di Morra comprendevano, oltre alle terre del Cilento, anche Teora, Sant'Angelo dei Lombardi, Lioni giungendo fino a Vallata e Frigento, dove ancora oggi resistono i ruderi di una rocca detta ""Il Pesco di Morra"". Passato poi agli Zurlo ed ai Caracciolo, il paese tornò sotto il dominio dei Morra dal 1618 fino all'abolizione della feudalità (1806). La peste del 1656 sfiorò senza danni il paese ed infiammò negli abitanti la devozione per San Rocco, la cui festa patronale viene qui celebrata il 23 agosto. A seguito dei moti rivoluzionari del 1820-21 ben otto patrioti morresi vennero esiliati dal re Ferdinando e tra questi due zii del De Sanctis. Nel 1837 a Morra arrivò il colera, ma anche stavolta il paese ne uscì indenne finché una nuova epidemia, nel 1854, uccise novanta morresi in meno di due mesi.","San Rocco","23 agosto","Informazione assente","IX","Informazione assente",8,"","","","","40.92977875781348, 15.242533490863126","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/17dcd43f-7cd8-4e46-9c5d-5ffc8430b0c0.jpeg","wikipedia","",
"Moschiano",1664,"Claudio Rosario Addeo","Moschianesi","Informazione assente",83020,13.45,"Informazione assente","Informazione assente","inglobata tra i possedimenti degli Orsini, di Sanseverino e dei Pignatelli, venne acquistata dalla famiglia Lancellotti nel 1632. Con l’unità d’Italia fu aggregata alla provincia di Avellino; nel 1928 venne annessa al Comune di Quindici;affrancandosene solo nel 1957.","Madonna della Carità","lunedì dopo Pentecoste","Antica","Informazione assente","Informazione assente",7,38,9,"Informazione assente","Informazione assente","40.87426862867667, 14.658247209421777","","wikipedia","",
"Mugnano del Cardinale",5283,"Alessandro Napolitano","Mugnanesi","Frazione  Cardinale",83027,12.3,1,"Informazione assente","informazione assente","Maria SS. delle Grazie","2 luglio","Informazione assente","XIX",1861,8,50,10,"informazione assente","festa del Maio","40.94094294292514, 14.638319269800133","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/c6a1fa2b-1288-4d53-8d17-26b7b46ca0e8.png","wikipedia","",
"Nusco",4148,"Ciriaco De Mita","Nuscani","Ponteromito",83051,53.6,1,"Deriva dal tardo latino muscus, ossia muschio, diventato con il tempo forma dialettale nusco. Secondo un'altra ipotesi potrebbe derivare dal latino nobiscum (con noi) oppure da nosco (conosco).","Nella seconda metà del secolo XI, Nusco acquistò il titolo di ""civitas"" o perché città ducale o perché eretta a sede vescovile. Ne fu primo vescovo sant'Amato, nativo del luogo, che ancora oggi ne è il Patrono; in cattedrale si conservano le sue sacre ossa e la ""Chartula Iudicati"", del settembre 1093, scritta in caratteri longobardi beneventani.","Sant'Amato di Nusco","28 maggio e 30 settembre","Informazione assente","Informazione assente","Informazione assente",7,12,6,"Trekking","Festa di San Nicola, Ceraso, Festa del Maio","40.88691359892728, 15.083991653949726","http://spod.databenc.it/ethersheet/images/f4422d42-8ef5-419e-bf75-e56d800e7598/fbdfa36e-6c56-47c9-bb56-2723464fae71.jpg","wikipedia","",
"Ospedaletto d'Alpinolo",2123,"Antonio Saggese","Ospedalettesi","Informazione assente",83014,6.08,0,"Il nome ""Ospedaletto"" deriva da un ospedale costruito in zona dagli avellinesi. La specifica ""d'Alpinolo"" allude forse alla posizione ""montana"" del territorio.","Ospedaletto d'Alpinolo è legato all'Abbazia di Montevergine ed è di origine medioevale col nome, pare, di ""Fontanelle"" e sorgeva nei pressi di Summonte, in seguito, il piccolo borgo venne spostato verso la chiesetta di Santa Maria del Preposito e venne chiamato Casale di Santa Maria del Preposito.","Santi Filippo e Giacomo","3 maggio","Medievale","XII",1178,11,50,3,"Trekking, mountain bike","Sagra della castagna del prete, a juta a montevergine,","40.93993,14.74455","http://spod.databenc.it/ethersheet/images/f4422d42-8ef5-419e-bf75-e56d800e7598/59201521-29f2-4ef7-95b8-95ce70750a59.jpg","wikipedia, sito del comune","",
"Pago del Vallo di Lauro",1798,"Antonio Mercogliano","Paghesi","Pernosano, Sopravia",83020,5.03,2,"Il nome deriva dal latino pagus, ossia borgo, villaggio. Trovandosi in una valle ha assunto la specifica ""del vallo"". ""di Lauro"" invece deriva dal latino laurus, ossia alloro.","Pago è un piccolo paese del Vallo di Lauro, situato in un quadro verdeggiante, ai piedi del Monte Dinico.Pur non avendo annotazioni circa la relativa origine, si ipotizza che il nome derivi da Pagus latino civi, conclamando Pago come l’ufficio del Vallo per la riscossione delle tasse religiose.Le più antiche notizie, di questo piccolo borgo agricolo, risalgono all’epoca romana, le cui tracce si ritrovano, ancora oggi, nelle contrade di S. Pietro Montedonico e Pernosano.Sviluppatosi nel periodo medievale, il paese fu feudo dei Signori di Lauro; nel sec. XV passò nelle mani di Andrea de Capua e nel XVI divenne un podere dei nobili Cutillo.","Sant'Antonio di Padova","13 giugno","Informazione assente","Informazione assente","Informazione assente",0,5,5,"mountain bike","Carnevale indoor più grande del mondo","40.89637646331514, 14.605609809848072","http://spod.databenc.it/ethersheet/images/f4422d42-8ef5-419e-bf75-e56d800e7598/7da30f83-f71b-4717-bc8e-4939b33f8405.jpg","wikipedia, sito del comune","",
