Nome Comune,Numero di abitanti,Sindaco,Nome degli abitanti,Frazioni,Codice Postale,Superficie,Numero di frazioni,Etimologia del nome,Storia,Patrono,Epoca di fondazione,Anno di fondazione,Secolo di fondazione,Numero di punti di interesse,Numero di aziende,Numero di scuole,Percorsi,Eventi,Immagine,Sitografia,Giorno festivo month,Giorno festivo day,GeolocalizzazioneLattitude,GeolocalizzazioneLongitude
Eboli,38525,Antonio De Lesu,"Ebolitani, Eburini","Casarsa, Cioffi, Corno d'Oro, Santa Cecilia",84025,137.58,4,"Il nome Eboli potrebbe derivare da Eu bòlos (ευ βώλος, ""buona zolla""), o da un mitico fondatore: Ebalo, figlio della ninfa Sebeti e di Telone, re di Capri, menzionato da Virgilio alla fine del settimo libro dell'Eneide, dove dice: Oebale quem generasse Telon Sebetide Nympha.","n epoca romana Eboli veniva a trovarsi sull'asse di penetrazione verso la Lucania e che i Romani adottarono come preferenziale nella creazione della successiva strada consolare Popilia detta anche Regio-Capuam. Infatti, anche se questa è datata nella seconda metà del II secolo a.C., non si può escludere che il suo percorso venisse sfruttato anche prima, come testimoniano i resti di un porto ante-litteram e che i Romani ribattezzeranno Portus Alburnus: tipiche imbarcazioni chiamate ""Lintra"", risalivano il Sele dalla colonia greca pestana, cariche di merci, ed il capolinea era questa insenatura in cui vi erano degli attracchi sicuri. Da qui le merci venivano distribuite all'entroterra, proprio tramite la via consiliare. La presenza di questo itinerario, lungo 132 miglia e che apre a Roma il sud per la conquista militare-politica, potrebbe spiegare la romanizzazione del sito di Eboli anche indipendentemente dalla colonia latina di Paestum. In ogni caso sono emerse tracce concrete ad Eboli di una strada lastricata che potrebbe identificarsi con la Popilia, a sud-est, lungo la congiunzione tra le colline e la pianura, non lontano dalla Statale 19 delle Calabrie, che a grandi linee ripercorre l'antica consolare. Tale scoperta ripropone il problema del percorso della Popilia in rapporto al centro antico di Eboli, se cioè lo attraversasse provenendo da monte, come ha sostenuto Werner Johannowsky, o se ne interessasse il territorio costeggiando il fondo valle, com'è opinione del d'Agostino.",San Vito,Medievale,1419.0,XV,1.0,46.0,43.0,Ermice - Percorso dei Mulini - San Donato,Festa del pollo alla brace,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/da06aa6f-fc63-4585-a25f-af2cc3ecec9e.jpg,Wikipedia e sito comunale,Giugno,15,40.615396,15.054934
Felitto,1242,Carmine Casella,Fellittesi,,84055,41.53,0,"Stando però all'origine greca del paese, la versione più attendibile è quella che fa derivare il nome “Felitto” dal verbo greco “Phiulatto”: guardare, custodire, vigilare","Il paese è un borgo medievale che conserva ancora numerose torri di guardia e mura di cinta, tipiche dell'anno 1000. L'origine di Felitto è da ricondurre a qualche secolo prima dell'anno 1000. Strategicamente la posizione era straordinaria: sopraelevata, inaccessibile o accessibile con molta difficoltà dai quattro lati con la possibilità di controllare con facilità tutta la valle del Calore. Facile difesa naturale del posto, possibilità di avvistare con molto anticipo eventuali pericoli, presenza abbondante sul posto di ottima pietra da costruzione e da calce, nonché di sabbia in zona relativamente vicina (Casale), possibilità di rifornirsi d'acqua sia per la vicinanza del fiume Calore e sia per la presenza nel raggio di pochi chilometri di diverse piccole sorgenti, rendevano il posto ideale per un insediamento stabile e sicuro. Una delle prime apparizioni di Felitto, risale ad una bolla di Papa Bonifacio XVIII in cui si citava un borgo denominato come ""Felix"", da cui Felitto. Il paese era dotato di un notevole complesso murario fortificato, precisamente da 13 torrioni di cui tre di forma quadrata. Nel centro storico è ancora oggi conservato un antichissimo castello. La cinta muraria risulta solo parzialmente intatta, poiché demolita in alcune parti",San Vito,Moderna,1797.0,XVIII,1.0,,3.0,Le gole del calore,Sagra del fusillo felittese,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/b2e88b4a-a868-449b-b2f8-d93f3aa28a65.jpg,Wikipedia e sito comunale,Giugno,15,40.770434,14.798938
Fisciano,13942,Vincenzo Sessa,Fiscianesi,"Bolano, Canfora, Carpineto, Gaiano, Lancusi, Nocelleto, Penta, Pizzolano, Settefichi, Soccorso, Villa",84084,31.23,11,"Secondo la leggenda, in zona era situato un tempio dedicato a Giano in cui era custodito un tesoro, fiscus ad Janum, da cui potrebbe derivare il nome.","Dal 1811 al 1860 ha fatto parte del circondario di Sant'Angelo a Fasanella, appartenente al distretto di Campagna del regno delle Due Sicilie.",Santo Vincenzo Ferreri,,,,39.0,50.0,16.0,Pizzo San Michele a Fisciano: tracking e piste ciclabili,"Festa patronale il 5 Aprile, mostra d'arte virtuale dedicata a Claudio Palacio, sagra del cinghiale",http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/1c4afcdb-1d11-47b7-8f0f-6c0d03b9e57e.jpg,Wikipedia e sito comunale Fisciano,Aprile,5,40.770434,14.798938
Furore,731,Raffaele Ferraioli,Furoresi,"San Giacomo, San Michele, Sant'Elia",84010,1.7,3,"Di origine incerta, forse deriva dal latino Terra Furoris, che è la terra menzionata dagli antichi scrittori, oppure potrebbe derivare dal nome dell'antico proprietario del feudo.","La Storia Le prime notizie certe che si hanno dell’insediamento abitativo indicano Furore come un semplice casale della Regia città di Amalfi. Il suo nome, verosimilmente, gli doveva derivare dal fiordo della sua Marina.",San Pasquale Bylon,,,,4.0,30.0,9.0,"Sentiero Pennino, Dalla grotta del biscotto, Monte dei tre Calli","Festa patronale 17 maggio, Fiordo di Furore",http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/2c9a074d-f801-4d45-8b6f-09d4c4990a54.jpg,Wikipedia e sito comunale di Furore,Maggio,17,40.618671,14.553566
Futani,1122,Aniello Caputo,Futanari,"Castinatelli, Eremiti",84050,14.85,2,"Certamente il nome di ""Futani"" deriva da ""futa"" e da ""futos"", greco, che significa ""foresta""... Per tradizione orale si sa che Futani, all'inizio della sua esistenza, contava solo sette ""fuochi"" e cioè sette focolari o famiglie.","L'origine e la storia di Futani va considerata nell'ottica della storia di tutti i paesi della ""Valle del Lambro"". Solo come cronaca, si fa presente che qualche dilettante di Paleontologia, basandosi sopra un documento che parla di un fossile di età remota, il quale proviene dal territorio di Futani, ha avuto avanzare l'ipotesi dell'origine di Futani intorno al 39 a.C. Si vuole che tale documento sia contenuto nel trattato di ""Storia naturale"" di Plinio il Vecchio.","San Marco Evangelista, Sant'Anna",Moderna,1648.0,XVII,1.0,1.0,2.0,"Futani- San Menale (Cilento), Futani- Acqua delle Cionche",Menevavo festival Futani tra natura e cultura,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/343abb51-4f9e-4efe-9c79-504040e33158.jpg,Pagine bianche e Wikipedia,Aprile,25,40.748599,14.881684
Giffoni Sei Casali,5024,Francesco Munno,Giffonesi,"Prepezzano, Sieti, Malche, Belvedere, Sant'Antonio",84090,35.08,5,"L'origine è identica a ""Giffoni Sei Casali"", mentre la specifica ""Valle Piana"" è legata alla sue caratteristiche geografiche, anche se forse in passato la zona era chiamata ""Giffoni Valle e Piana"", come a definire ed identificare i due diversi insediamenti di popolazione.","La storia, nel Comune di Giffoni Sei Casali, non rivive solo grazie alle numerose testimonianze architettoniche, ma anche attraverso i lavori e i mestieri della gente più umile:il vestaio, il lavoratore dell’argilla, il fabbro ancora esistono nel Comune di Giffoni Sei Casali, esattamente come secoli fa.",San Martino,Contemporanea,,XXI,1.0,30.0,7.0,Scorcio mediavale a Sieti,11 novembre - Festa del Santo Patrono,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/f72446ca-14a1-4047-9b3d-58d543ae48b8.jpg,Wikipedia,Novembre,10,40.740198,14.896768
Giffoni Valle Piana,11768,Antonio Giuliano,Giffonesi,"Catelde, Chiaravallisi, Chieve, Curti, Curticelle, Gaia, Mercato, Ornito, Pozzarolo San Giovanni, Santa Caterina, Santa Maria a Vico, Sardone, Sovvieco, Terravecchia, Vassi",84095,88.61,15,"Il nome si presta a varie interpretazioni: secondo alcuni deriverebbe da Junonis Phanum, per la presenza di un tempio dedicato a Giunone sul quale è stata edificata la basilica di Santa Maria a Vico, secondo altri dal verbo greco foneo, nel significato di mandar suoni, secondo altri ancora da genus furis, ossia ""terra di gente furfante e ribelle"", mentre Valle Piana deriva dalle sue caratteristiche geografiche.","Colonizzata dai Picentini, Giffoni diviene capitale e chiamasi Picenza, città che diviene sempre più potente, fino a che non sarà distrutta dai Romani ben due volte, dopo la seconda guerra punica e durante la guerra sociale. I Romani, costretti i pochi Picentini, superstiti ad abitare “per vicos” ed impadronitisi dei campi, non riescono facilmente a  trovare mano d’ opera e la piccola proprietà viene man mano assorbita dai grandi possedimenti di ricchi proprietari, che, poi non reggeranno all’imposizione di tasse esorbitanti. Intanto, all’ abbandono delle terre si aggiunge la minaccia delle incursioni barbariche, l’ imperversare della malaria, la rovina economica.",Santa Maria Annunziata,Medievale,1002.0,XI,14.0,14.0,13.0,"Croci di Acerno, croci di Filetta","Giffoni film festival, Festa del Santo patrono 11 novembre",http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/2143f9cf-513f-4dfd-9396-864ae427a334.jpg,Pagine bianche e Wikipedia,Marzo,25,40.740198,14.896768
Gioi,1180,Maria Teresa Scarpa,Gioiesi,Cardile,84056,27.99,1,"Si tratterebbe, secondo alcuni, della significativa caratteristica delle qualità dei cittadini e delle loro prerogative. Mentre a detta di altri l’etimo deriverebbe da un tempio pagano.","Le prime notizie di Gioi si rintracciano in un diploma della badia di Cava de' Tirreni, Dove è descritto come borgo fortificato. Dal 1811 al 1860 è stato capoluogo dell'omonimo circondario appartenente al distretto di Vallo del regno delle Due Sicilie.",Madonna del Rosario,Moderna,1811.0,XIX,13.0,31.0,6.0,"Villagio dei Mulini, Ponte Ferrara",Festa dell'escursione 2021,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/5f7db6f8-0ea1-4b96-bb9e-91fd9021cc01.jpg,"Wikipedia, sito ufficiale Gioi",,,40.288747,15.217645
Giungano,1300,Giuseppe Orlotti,Giugnanesi,San Giuseppe Terrone,84050,11.7,2,Deriva dal toponimo Giugliano in Campania della provincia di Napoli. Il cognome Giugliano è specifico del napoletano.,"La città di Giugliano in Campania fa parte del comprensorio che gli antichi chiamavano Campi Flegrei, per la vicinanza con Licola, Cuma e Pozzuoli. Il toponimo Giugliano è citato per la prima volta in un documento dell’anno 1061, ove di parla di un tale «Habitator in Vico, qui nominatur Iullano».",Santa Maria Assunta,Moderna,1811.0,XIX,8.0,30.0,3.0,Pista ciclabile del lungolago Lago Patria di Giugliano,Festival digitale delle riviste,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/88156eee-1ba8-45fe-badd-1b20f63424fd.jpg,"Wikipedia, sito comunale Giugnano",Agosto,15,40.390131,15.086552
Ispani,1019,Francesco Giudice,Ispanoti,"Capitello, San Cristoforo",84050,8.3,2,"Deriva dal cognome Spano, tramutato nel tempo in Li Spani, cognome che deriva dal greco spanos (sbarbato).","Sorto come piccolo borgo di pescatori, nel corso dei secoli si espanse grazie alla vicinanza del Castellaro che rientrava nel circuito difensivo della Policastro normanna, del XII secolo di cui ne sono visibili i ruderi.",San Nicola di Bari,Medievale,,XII,10.0,11.0,1.0,Antico sentiero per Capitello,Festa Santo patrono di Bari,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/d9a7afeb-f9d4-4438-bfc4-45a53ebaeef6.jpg,"Wikipedia, sito comunale Ispani",Dicembre,6,40.087296,15.55861
Laureana Cilento,1189,Angelo Serra,Laureanesi,"Archi, Matonti, San Martino, Casaliello, Spinelli, Vetrali",84050,13.74,4,"Secondo alcuni il nome deriva dal latino Castellum Lauri, in riferimento ad un castello costruito a difesa dalle incursioni dei saraceni. Secondo altri, invece deriva dal cognome latino Laurianus al femminile","Il borgo era denominato Lauriano ma con l'annessione al regno di Sardegna ha cambiato il toponimo in Laureana Cilento e dal 1860 al 1927, durante il regno d'Italia ha fatto parte del mandamento di Torchiara, appartenente al circondario di Vallo della Lucania.",San Cono,Moderna,1860.0,XIX,5.0,50.0,2.0,,Carnevale dei giovani,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/c3de048d-52b0-4071-b809-0677e92cdee6.jpg,Wikipedìa,Giugno,3,40.300058,15.038385
Laurino,1372,Romano Gregorio,Laurinesi,"Villa Littorio, Pruno",84057,70.46,2,"Il toponimo Laurino deriva dalla “laura”creatasi con l’insediamento di numerosi monaci greci di osservanza basiliana, che vivevano come eremiti nelle numerose grotte della zona.","La prima citazione storica del CASTELLUM DE LAURI, risale all'anno 932. Infatti il suo passato è stato più glorioso del presente, se si riflette sul fatto che nel sec. XII la popolazione superava di gran lunga i 3.500 abitanti, distribuiti sul capoluogo ed altre frazioni: Le Chiane Soprane (Piaggine), Le Chiane Sottane (Valle dell’Angelo), Fogna (Villa Littorio) e Zadalampe, da cui si sono poi sviluppati i paesi circostanti. Oggi, a causa dell'emigrazione, ne conta meno di 1.900.",Sant'Elena,Medievale,,VII,7.0,50.0,5.0,Percorsi naturalistici lungo le sponde del fiume Calore,"Zip line (volo sul fiume Calore), Laurino Jazz",http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/467a2ca4-41e4-4723-8f8d-ef605b71c973.jpg,"Wikipedia, sito comunale, pagine bianche",Maggio,22,40.337389,15.336022
Laurito,745,Vincenzo Speranza,Lauritani,,84050,20.22,0,"Il nome deriva molto probabilmente dal latino lauretum, ossia laureto (un boschetto di lauri), molto diffusi in zona.","Nel Medioevo Laurito conobbe un periodo di sviluppo economico. Ne sono testimonianza gli affreschi della Cappella di San Filippo, la cui parte più antica è datata nella seconda metà del XIII secolo. Gli affreschi sono stati restaurati di recente. il feudo venne concesso da Roberto il Guiscardo ad uno dei suoi cavalieri allo scopo di controllare, unitamente ai castelli di Rofrano e di Alfano (non individuato), l'intero territorio. Dal 1811 al 1860 è stato capoluogo dell'omonimo circondario appartenente al distretto di Vallo del regno delle Due Sicilie.",San Filippo d'Agira,Medievale,,XIII,,45.0,3.0,4 percorsi naturalistici all'aria aperta e nei borghi,"Festa di S. Filippo, Madonna del Carmine, Carnevale intercomunale, la notte dei briganti, la fiera della Maddalena e la fiera del Pianello",http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/aaad2117-3cdc-42ae-9076-3ea173f74c52.jpg,"Wikipedia, sito comunale, pagine bianche",Maggio,12,40.167823,15.407119
Laviano,1385,Oscar Imbriaco,Lavianesi,Campo Piano,84020,55.68,1,"Trae la sua origine probabilmente da un nome o una famiglia, secondo alcuni dal latino Lavius o gens Lavia, secondo altri, invece da Abello o Abiliana. Da aggiungere il suffisso finale -anus che indica l'appartenenza.","Il toponimo Laurino deriva dalla “laura”creatasi con l’insediamento di numerosi monaci greci di osservanza basiliana, che vivevano come eremiti nelle numerose grotte della zona.",San Pasquale Baylon,Moderna,,XIX,3.0,55.0,3.0,"Percorsi di trekking, tour delle cave, castelli e ponti tibetani anche in zone limitrofe",Festa patronale,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/e91f3afc-cd53-44d8-82c5-06db88b07ae9.jpg,"Wikipedia, sito comunale, pagine bianche",Maggio,17,40.786337,15.30771
Lustra,1027,Luigi Guerra,Lustresi,"Corticelle, Ponti Rossi, Rocca Cilento, Selva",84050,15.24,4,"Il nome deriva dal latino Lustrum, pantano o zona selvaggia.","Nel corso dei secoli le antiche popolazioni hanno lasciato pregevoli testimonianze del loro passaggio, come ci ricordano i due stupendi ponti medievali a schiena d'asino, le rovine del castello Longobardo, gli affreschi e varie opere scolpite in legno della Collegiata di Santa Maria Maggiore. Ricco di vegetazione e natura incontaminata, Laurino era conosciuto in passato come ""La Perla del Calore"".",Santa Maria delle Grazie,Medievale,1427.0,XV,1.0,38.0,13.0,"11 percorsi e itinerari, percorribili anche con la bicicletta, parco nazionale del Cilento,",,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/017702e1-8f3c-425a-b9fa-e2c5491eb3e5.jpg,"Wikipedia, sito comunale, pagine bianche, cilento regeneratio",Luglio,2,40.288886,15.067327
Magliano Vetere,635,Carmine D'Alessandro,Maglianesi,"Capizzo, Magliano Nuovo, Palazzo soccorso",84050,23.3,3,"Fa parte del Parco del Cilento e Vallo di Diano. Proviene dal nome latino Mallius a cui è stato aggiunto, nel tempo, il suffisso -anus che indica la proprietà. L'aggiunta ""vetere"" dal latino vetus (vecchio) è successiva e contrapposta alla sua frazione Magliano Nuovo","Il comune di Magliano Vetere, in ragione delle caratteristiche del suo territorio, ha sempre rappresentato un punto di comunicazione strategico tra la Valle del fiume Calore Lucano (situata più all'interno) e la valle del fiume Alento (più vicina alla costa cilentana). Queste due vallate, infatti, sono separate da una impervia dorsale montuosa, dominata dalla forma tagliente dei monti Vesole",Santa Lucia,,,,8.0,36.0,2.0,"Castello Magliano Nuovo, Gole del Calore, Cilento in volo, Museo Paleontologico, Oasi Fiume Alento, Grotta del Santuario di S. Michele Arcangelo",,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/384e7b28-8497-4a44-9941-6bee7378fef3.jpg,"Wikipedia, tuttitalia.com",,,40.347669,15.236056
Maiori,5588,Antonio Capone,Maioresi,"Erchie, Ponteprimario, San Pietro, Vecite",84010,16.42,4,"In passato era chiamato Rheginna Maior, dal nome del fiume che attraversava la zona, e già da allora era contrapposto a Rheginna minor. I due paesi assunsero poi il nome di Maiori e Minori.","La leggenda principale, narrata dallo scrittore latino Plinio, vuole che la città di Maiori discenda dalla dea Maia, il quale nome, tradotto dal latino, assume il significato di ""colei che porta crescita"" oppure ""colei che è grande"", in correlazione al nome stesso della città. Altre leggende dicono che a Maiori i greci avessero dedicato un tempio alla dea BoxsturaI o che Ercole fosse arrivato fino al Falerzio: pare che nell'agro dove odiernamente trova spazio la frazione maiorese di Erchie si ergesse un tempio dedicato all'eroe.",Santa Maria a Mare,Medievale,,IX,3.0,20.0,10.0,"Lungo mare di Maiori, sentiero dei limoni",Maiori music Festival,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/6656255b-e3ed-418b-881d-0983f5c0243d.jpg,"wikipedia, google maps",Agosto,15,40.648589,14.646823
Mercato San Severino,22183,Antonio Somma,Sanseverinesi,"Acigliano, Acquarola, Capocasale, Carifi, Ciorani, Corticelle, Costa, Curteri, Galdo di Carifi, Lombardi, Monticelli di Sopra, Monticelli di Sotto, Oscato, Ospizio, Pandola, Piazza del Galdo, Priscoli, Sant'Angelo, Sant'Eustachio, San Vincenzo, Spiano, Torello, Valle",84085,30.33,23,"Il nome deriva dal termine rotaticum, pedaggio terrestre che, già in epoca romana, gli abitanti della zona richiedono a chiunque voglia transitare lungo la strada principale, che dagli Abruzzi porta a Salerno, attraverso Benevento e Avellino.","Magliano fu considerato un centro importante non solo dai Longobardi ma in seguito anche dai Normanni, i quali, quando organizzarono l'amministrazione del territorio locale sotto la Baronia di Novi Velia, decisero che Magliano doveva essere la sede di uno dei quattro Stati in cui era ripartita la predetta Baronia e aggregarono nello Stato di Magliano le università di Magliano Vetere, Capizzo, Stio e Gorga.",San Rocco,Moderna,1810.0,XIX,7.0,30.0,20.0,"16 percorsi mountain bike, 6 percorsi trekking",,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/4882d62a-48d6-43a7-8905-7f0cbe069379.jpg,"wikipedia,google maps",Agosto,16,40.79569194237964,14.71876003048105
Minori,2652,Andrea Reale,Minoresi,"Monte, Torre, Villamena",84010,2.66,3,"La sua origine è strettamente legata al paese limitrofo di Maiori: in passato era chiamata Rheginna minor, in riferimento al fiume che l'attraversava, in contrapposizione a Rheginna Maior. Divenne poi con il tempo Minori.","Dal 1860 al 1927, durante il Regno d'Italia è stato capoluogo dell'omonimo mandamento appartenente al Circondario di Vallo della Lucania.",Santa Trofimena,Medievale,1270.0,XIII,5.0,,19.0,"16 trekking, 2 canoa, 2 mountain bike",Festa patronale,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/732c271b-f832-4ab4-aa00-df77e0d90431.jpg,"wikipedia, google maps",Novembre,5,40.659561,14.6297
Moio della Civitella,1871,Enrico Gnarra,Moiesi,Pellare,84060,17.19,1,"Il suo nome deriva da “moia”, che significa acqua, infatti, la zona è ricca di acque paludose e di sorgenti; inoltre, più a valle scorre un affluente del torrente Badolato dove si effettuava la concia della pelli da parte dei Monaci Basiliani: ciò ha dato origine al nome della frazione Pellare.","Sulla sommità del colle sono stati scavati i resti di mura greche e di costruzioni di età romana. In età magnogreca, vi era ubicato un avamposto difensivo (phrourion) della città di Elea, aperto sull'entroterra dell'attuale Cilento, poiché destinato a proteggere dai Lucani l'esiguo territorio agricolo di cui poteva disporre la chora della polis eleate, la cui vocazione restava essenzialmente marittima e commerciale. La civitella esibisce ritrovamenti riferibili a un'epoca tardo arcaica, mentre più recente è la costruzione della cinta muraria ad anello, avvenuta a cavallo tra V e IV secolo a.C.","Santa Veneranda, San Bartolomeo",Antica,,IV,2.0,33.0,16.0,5 trekking,Festa patronale,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/27461eb4-e8c1-4cc4-89cf-fb2b57127bb5.jpg,"wikipedia,google maps",Luglio,26,40.246719,15.269015
Montano Antilia,1902,Luciano Trivelli,Montanesi,"Abatemarco, Massicelle",84060,33.44,2,"Il toponimo Montano Antilia deriva da San Montano, le cui spoglie sono custodite in un reliquario laminato d'argento presso la chiesa della SS Annunziata; Antilia significa etimologicamente “davanti al sole”, ed infatti il Monte Antilia sul quale sorge è una delle vette cilentane più alte.","Appartenne sempre al territorio di Cuccaro Vetere con il nome di Montagna e fu un piccolo casale, che le numerazioni del regno, ovvero i censimenti della popolazione, menzionano a partire dal secolo XVI. Staccatosi successivamente da Cuccaro Vetere, fu dato in feudo ai Monforte di Laurito. Da Montano Antilia partì nel 1828 la rivolta dei Filadelfi La rivolta aprì con grande anticipo la via ai moti del 1848 e poi alle sollevazioni risorgimentali del 1859/60 che portarono all'unità d'Italia.","San Sebestiano, San Montano, Sant'Irene",,,,3.0,50.0,18.0,"7 trekking, 1 mountain bike",Festa patronale,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/d9164f11-6a6a-408c-a01a-749ab829a7dd.jpg,"wikipedia, google maps",Gennaio,20,40.162854,15.359502
Monte San Giacomo,1501,Raffaele Accetta,Sangiacomesi,,84030,51.69,0,"Il nome si lega fortemente al culto del Santo. Secondo la tradizione, una compagnia religiosa dedita al culto di San Giacomo, durante un pellegrinaggio, sostò in zona e qui realizzò una chiesa dedicata al Santo patrono.","Dal 1811 al 1860 ha fatto parte del circondario di Diano appartenente al distretto di Sala del Regno delle due Sicilie. Dal 1860 al 1927, durante il regno d'Italia ha fatto parte del mandamento di Teggiano, appartenente al circondario di Sala Consilina.","San Giacomo  Maggiore, Sant'Anna",Medievale,,VII,6.0,55.0,1.0,24 trekking,Festa patronale,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/df2932c6-536d-4d88-8a02-5a9206f5432e.jpg,"wikipedia, google maps",Luglio,25,40.341883,15.541381
Montecorice,2631,Pierpaolo Piccirilli,Montecoricesi,"Agnone, Case del Conte, Cosentini, Fornelli, Ortodonico, Zoppi",84060,22.25,6,"Il nome deriva dal latino mons coracis, ossia monte corvo, in quanto la parola corax, coracis, significa corvo. Secondo alcuni la parola corax, potrebbe derivare da un termine prelatino corbo, assumerebbe così il significato di monte tondeggiante.","È probabile che il borgo si sia venuto formando intorno al monastero di Sant'Arcangelo, esistente già nel secolo X. Rimase sempre tuttavia un piccolo casale, citato nel 1532 e poi nel 1669 con il nome di Mont'Acorice. Nel secolo XVIII era possesso della famiglia Giordano con il titolo di ducato. Durante il Regno di Napoli e il Regno delle Due Sicilie fu un casale amministrato dal comune di Ortodonico. Dal 1811 al 1860 ha fatto parte del circondario di Castellabate. Dal 1860 al 1927, durante il Regno d'Italia ha fatto parte del mandamento di Castellabate appartenente al Circondario di Vallo della Lucania.",San Biagio,Medievale,,X,2.0,60.0,17.0,,Festa patronale,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/baf57c9b-a3bc-4528-8716-6ecd6f8d860f.jpg,"wikipedia, google maps",Febbraio,3,40.234149,14.98434
Montecorvino Pugliano,11076,Alessandro Chiola,Puglianesi,"Pugliano,Santa Tecla,Gallara e Torello",84090,28.72,4,"Secondo la tradizione popolare il paese nacque da un primissimo insediamento di abitanti che guidati da un corvo arrivarono in zona e qui si insediarono. Un'ipotesi meno fantasiosa vuole invece che il nome derivi dall'unione di due parole latine mons e corvinus, ossia ""di corvo"".","Il 25 gennaio 1820 con decreto reale 1876 Montecorvino venne diviso in due dipartimenti: Rovella e Pugliano. Successivamente il Consiglio Comunale di Montecorvino Pugliano divise il comune in frazioni: Pugliano, Santa Tecla, Torello, Faiano e Pontecagnano con capoluogo Pugliano. Il comune di Pugliano era in quel periodo, in condizioni ottimali sia per la crescita demografia sia per il miglioramento delle condizioni di vita dovute alla bonifica dell'agro picentino, che grazie alla bontà dei terreni portarono al trasferimento di molte famiglie nelle zone del piano e nel 1806 diedero vita ad un primo movimento per la costituzione di Pontecagnano Faiano in comune autonomo.",San Bernardino da Siena,Moderna,1820.0,XIX,3.0,9.0,14.0,5 percorsi mountain bike 1 percorso trekking,Montecorvino vino e musica,http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/9bd3b8b7-010e-4f19-87df-ac073023e123.jpg,"Wikipedia,Sito comune,Google maps",Giugno,13,40.678787,14.945091
Montecorvino Rovella,12657,Martino D'onofrio,Montecorvinesi,"Chiarelli, Cornea, Ferrari, Gauro, Macchia, Nuvola, Occiano, Martorano",84096,42.16,8,il nome Rovella deriva da Rue elle (via corta),"Il termine Corvinus è appellativo della gens Valeria (antica famiglia romana della Magna Grecia) e dei loro possedimenti.[5] Nel 269 a.C. i Romani, alla cui testa vi era il console Sempronio Sofo, sconfissero i Piceni, di un'antica regione sull'Adriatico, e li trapiantarono con forza in Campania tra il confine meridionale della lega nocerina, e il confine settentrionale della lega lucana, occupando il territorio posto tra i fiumi Sele e Sarno",Santi Pietro e Paolo,Antica,269.0,III,27.0,9.0,10.0,23 percorsi mountain bike,"Sagra della braciola,picentia short film festival",http://spod.databenc.it/ethersheet/images/b8714a24-1c23-4918-a420-030a2f1ceac7/c4fd4629-15df-404a-96be-7d18207c482b.jpg,"wikipedia,google maps,sito comune",Giugno,29,40.69584846496582,14.975634098664159
